admin3_id,county_name
US-NY-AL,Albany
US-NY-BR,Bronx
US-NY-BO,Broome
US-NY-CA,Cayuga
US-NY-CH,Chautauqua
US-NY-CR,Cortland
US-NY-ER,Erie
US-NY-GE,Genesee
US-NY-GR,Greene
US-NY-HA,Hamilton
US-NY-KI,Kings
US-NY-LE,Lewis
US-NY-LI,Livingston
US-NY-MN,Montgomery
US-NY-NY,NewYork
US-NY-OE,Oneida
US-NY-ON,Onondaga
US-NY-OA,Ontario
US-NY-OR,Orange
US-NY-OS,Oswego
US-NY-OT,Otsego
US-NY-PU,Putnam
US-NY-QU,Queens
US-NY-RE,Rensselaer
US-NY-RI,Richmond
US-NY-RO,Rockland
US-NY-SY,Schuyler
US-NY-SL,StLawrence
US-NY-ST,Steuben
US-NY-SU,Suffolk
US-NY-SI,Sullivan
US-NY-TI,Tioga
US-NY-TO,Tompkins
US-NY-UL,Ulster
US-NY-WR,Warren
US-NY-WA,Wayne
US-NY-WE,Westchester
US-NY-WY,Wyoming
