name,admin3_id
Adams,US-WI-AD
Ashland,US-WI-AS
Barron,US-WI-BA
Bayfield,US-WI-BY
Brown,US-WI-BA
Buffalo,US-WI-BF
Burnett,US-WI-BU
Calumet,US-WI-CA
Chippewa,US-WI-CH
Clark,US-WI-CL
Columbia,US-WI-CO
Crawford,US-WI-CR
Dane,US-WI-DA
Dodge,US-WI-DR
Door,US-WI-DR
Douglas,US-WI-DG
Dunn,US-WI-DU
Eau Claire,US-WI-EC
Florence,US-WI-FL
Fond du Lac,US-WI-FD
Forest,US-WI-FO
Grant,US-WI-GR
Green,US-WI-GE
Green Lake,US-WI-GL
Iowa,US-WI-IA
Iron,US-WI-IR
Jackson,US-WI-JA
Jefferson,US-WI-JE
Juneau,US-WI-JU
Kenosha,US-WI-KE
Kewaunee,US-WI-KW
La Crosse,US-WI-LC
Lafayette,US-WI-LC
Langlade,US-WI-LC
Lincoln,US-WI-LI
Manitowoc,US-WI-ME
Marathon,US-WI-MR
Marinette,US-WI-MA
Marquette,US-WI-MQ
Menominee,US-WI-ME
Milwaukee,US-WI-MI
Monroe,US-WI-MO
Oconto,US-WI-OC
Oneida,US-WI-ON
Outagamie,US-WI-OU
Ozaukee,US-WI-OZ
Pepin,US-WI-PE
Pierce,US-WI-PI
Polk,US-WI-PL
Portage,US-WI-PO
Price,US-WI-PR
Racine,US-WI-RA
Richland,US-WI-RI
Rock,US-WI-RO
Rusk,US-WI-RU
St. Croix,US-WI-SC
Sauk,US-WI-SH
Sawyer,US-WI-SW
Shawano,US-WI-SH
Sheboygan,US-WI-SE
Taylor,US-WI-TA
Trempealeau,US-WI-TR
Vernon,US-WI-VE
Vilas,US-WI-VI
Walworth,US-WI-WL
Washburn,US-WI-WS
Washington,US-WI-WI
Waukesha,US-WI-WK
Waupaca,US-WI-WP
Waushara,US-WI-WS
Winnebago,US-WI-WI
Wood,US-WI-WO
